Code Domaine;Code zone (M49);Zone;Code année;Année;Unité;Valeur
OA;442;Luxembourg;2019;2019;1000 personnes;619.973
OA;807;Macédoine du Nord;2016;2016;1000 personnes;2110.196
OA;807;Macédoine du Nord;2019;2019;1000 personnes;2114.176
OA;450;Madagascar;2016;2016;1000 personnes;25501.941
OA;450;Madagascar;2019;2019;1000 personnes;27533.134
OA;458;Malaisie;2016;2016;1000 personnes;31526.418
OA;458;Malaisie;2019;2019;1000 personnes;32804.02
OA;454;Malawi;2016;2016;1000 personnes;17405.624
OA;454;Malawi;2019;2019;1000 personnes;18867.337
OA;462;Maldives;2016;2016;1000 personnes;454.252
OA;462;Maldives;2019;2019;1000 personnes;504.508
OA;466;Mali;2016;2016;1000 personnes;18700.106
OA;466;Mali;2019;2019;1000 personnes;20567.424
OA;470;Malte;2016;2016;1000 personnes;467.705
OA;470;Malte;2019;2019;1000 personnes;503.635
OA;504;Maroc;2016;2016;1000 personnes;35107.264
OA;504;Maroc;2019;2019;1000 personnes;36304.408
OA;474;Martinique;2016;2016;1000 personnes;380.345
OA;474;Martinique;2019;2019;1000 personnes;372.245
OA;480;Maurice;2016;2016;1000 personnes;1293.911
OA;480;Maurice;2019;2019;1000 personnes;1296.279
OA;478;Mauritanie;2016;2016;1000 personnes;4051.89
OA;478;Mauritanie;2019;2019;1000 personnes;4383.849
OA;175;Mayotte;2016;2016;1000 personnes;260.283
OA;175;Mayotte;2019;2019;1000 personnes;294.489
OA;484;Mexique;2016;2016;1000 personnes;121519.221
OA;484;Mexique;2019;2019;1000 personnes;125085.311
OA;583;Micronésie (États fédérés de);2016;2016;1000 personnes;109.925
OA;583;Micronésie (États fédérés de);2019;2019;1000 personnes;111.379
OA;492;Monaco;2016;2016;1000 personnes;37.071
OA;492;Monaco;2019;2019;1000 personnes;37.034
OA;496;Mongolie;2016;2016;1000 personnes;3029.555
OA;496;Mongolie;2019;2019;1000 personnes;3232.43
OA;499;Monténégro;2016;2016;1000 personnes;633.264
OA;499;Monténégro;2019;2019;1000 personnes;630.396
OA;500;Montserrat;2016;2016;1000 personnes;5.085
OA;500;Montserrat;2019;2019;1000 personnes;4.505
OA;508;Mozambique;2016;2016;1000 personnes;27696.493
OA;508;Mozambique;2019;2019;1000 personnes;30285.595
OA;104;Myanmar;2016;2016;1000 personnes;51892.349
OA;104;Myanmar;2019;2019;1000 personnes;53040.212
OA;516;Namibie;2016;2016;1000 personnes;2323.352
OA;516;Namibie;2019;2019;1000 personnes;2446.644
OA;520;Nauru;2016;2016;1000 personnes;11.437
OA;520;Nauru;2019;2019;1000 personnes;12.132
OA;524;Népal;2016;2016;1000 personnes;27861.186
OA;524;Népal;2019;2019;1000 personnes;28832.496
OA;558;Nicaragua;2016;2016;1000 personnes;6389.235
OA;558;Nicaragua;2019;2019;1000 personnes;6663.924
OA;562;Niger;2016;2016;1000 personnes;20921.743
OA;562;Niger;2019;2019;1000 personnes;23443.393
OA;566;Nigéria;2016;2016;1000 personnes;188666.931
OA;566;Nigéria;2019;2019;1000 personnes;203304.492
OA;570;Nioué;2016;2016;1000 personnes;1.861
OA;570;Nioué;2019;2019;1000 personnes;1.921
OA;578;Norvège;2016;2016;1000 personnes;5236.59
OA;578;Norvège;2019;2019;1000 personnes;5348.279
OA;540;Nouvelle-Calédonie;2016;2016;1000 personnes;283.748
OA;540;Nouvelle-Calédonie;2019;2019;1000 personnes;285.374
OA;554;Nouvelle-Zélande;2016;2016;1000 personnes;4668.081
OA;554;Nouvelle-Zélande;2019;2019;1000 personnes;4959.034
OA;512;Oman;2016;2016;1000 personnes;4398.07
OA;512;Oman;2019;2019;1000 personnes;4602.768
OA;800;Ouganda;2016;2016;1000 personnes;38748.299
OA;800;Ouganda;2019;2019;1000 personnes;42949.08
OA;860;Ouzbékistan;2016;2016;1000 personnes;31453.574
OA;860;Ouzbékistan;2019;2019;1000 personnes;32976.948
OA;586;Pakistan;2016;2016;1000 personnes;213524.84
OA;586;Pakistan;2019;2019;1000 personnes;223293.28
OA;585;Palaos;2016;2016;1000 personnes;17.816
OA;585;Palaos;2019;2019;1000 personnes;17.916
OA;275;Palestine;2016;2016;1000 personnes;4593.848
OA;275;Palestine;2019;2019;1000 personnes;4909.775
OA;591;Panama;2016;2016;1000 personnes;4026.336
OA;591;Panama;2019;2019;1000 personnes;4232.532
OA;598;Papouasie-Nouvelle-Guinée;2016;2016;1000 personnes;8899.169
OA;598;Papouasie-Nouvelle-Guinée;2019;2019;1000 personnes;9542.486
OA;600;Paraguay;2016;2016;1000 personnes;6266.615
OA;600;Paraguay;2019;2019;1000 personnes;6530.026
OA;528;Pays-Bas (Royaume des);2016;2016;1000 personnes;17124.505
OA;528;Pays-Bas (Royaume des);2019;2019;1000 personnes;17363.262
OA;604;Pérou;2016;2016;1000 personnes;31132.779
OA;604;Pérou;2019;2019;1000 personnes;32824.861
OA;608;Philippines;2016;2016;1000 personnes;104875.266
OA;608;Philippines;2019;2019;1000 personnes;110380.804
OA;616;Pologne;2016;2016;1000 personnes;38532.113
OA;616;Pologne;2019;2019;1000 personnes;38493.601
OA;258;Polynésie française;2016;2016;1000 personnes;293.541
OA;258;Polynésie française;2019;2019;1000 personnes;299.717
OA;630;Porto Rico;2016;2016;1000 personnes;3432.74
OA;630;Porto Rico;2019;2019;1000 personnes;3292.887
OA;620;Portugal;2016;2016;1000 personnes;10332.753
OA;620;Portugal;2019;2019;1000 personnes;10289.923
OA;634;Qatar;2016;2016;1000 personnes;2595.166
OA;634;Qatar;2019;2019;1000 personnes;2807.235
OA;760;République arabe syrienne;2016;2016;1000 personnes;18964.252
OA;760;République arabe syrienne;2019;2019;1000 personnes;20098.251
OA;140;République centrafricaine;2016;2016;1000 personnes;4904.177
OA;140;République centrafricaine;2019;2019;1000 personnes;5209.324
OA;410;République de Corée;2016;2016;1000 personnes;51309.984
OA;410;République de Corée;2019;2019;1000 personnes;51803.829
OA;498;République de Moldova;2016;2016;1000 personnes;3225.123
OA;498;République de Moldova;2019;2019;1000 personnes;3109.491
OA;180;République démocratique du Congo;2016;2016;1000 personnes;81430.977
OA;180;République démocratique du Congo;2019;2019;1000 personnes;89906.89
OA;418;République démocratique populaire lao;2016;2016;1000 personnes;6891.363
OA;418;République démocratique populaire lao;2019;2019;1000 personnes;7212.053
OA;214;République dominicaine;2016;2016;1000 personnes;10527.592
OA;214;République dominicaine;2019;2019;1000 personnes;10881.882
OA;408;République populaire démocratique de Corée;2016;2016;1000 personnes;25389.611
OA;408;République populaire démocratique de Corée;2019;2019;1000 personnes;25755.441
OA;834;République-Unie de Tanzanie;2016;2016;1000 personnes;54401.802
OA;834;République-Unie de Tanzanie;2019;2019;1000 personnes;59872.579
OA;638;Réunion;2016;2016;1000 personnes;926.628
OA;638;Réunion;2019;2019;1000 personnes;949.419
OA;642;Roumanie;2016;2016;1000 personnes;19797.82
OA;642;Roumanie;2019;2019;1000 personnes;19524.211
OA;826;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;2016;2016;1000 personnes;65655.203
OA;826;Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;2019;2019;1000 personnes;66778.659
OA;646;Rwanda;2016;2016;1000 personnes;11930.899
OA;646;Rwanda;2019;2019;1000 personnes;12835.028
OA;732;Sahara occidental;2016;2016;1000 personnes;505.455
OA;732;Sahara occidental;2019;2019;1000 personnes;544.876
OA;652;Saint-Barthélemy;2016;2016;1000 personnes;9.842
OA;652;Saint-Barthélemy;2019;2019;1000 personnes;10.48
OA;654;Sainte-Hélène, Ascension et Tristan da Cunha;2016;2016;1000 personnes;5.51
OA;654;Sainte-Hélène, Ascension et Tristan da Cunha;2019;2019;1000 personnes;5.447
OA;662;Sainte-Lucie;2016;2016;1000 personnes;176.413
OA;662;Sainte-Lucie;2019;2019;1000 personnes;178.583
OA;659;Saint-Kitts-et-Nevis;2016;2016;1000 personnes;47.788
OA;659;Saint-Kitts-et-Nevis;2019;2019;1000 personnes;47.712
OA;674;Saint-Marin;2016;2016;1000 personnes;33.834
OA;674;Saint-Marin;2019;2019;1000 personnes;34.178
OA;663;Saint-Martin (partie française);2016;2016;1000 personnes;34.811
OA;663;Saint-Martin (partie française);2019;2019;1000 personnes;33.121
OA;666;Saint-Pierre-et-Miquelon;2016;2016;1000 personnes;5.965
OA;666;Saint-Pierre-et-Miquelon;2019;2019;1000 personnes;5.925
OA;336;Saint-Siège;2016;2016;1000 personnes;0.556
OA;336;Saint-Siège;2019;2019;1000 personnes;0.528
OA;670;Saint-Vincent-et-les Grenadines;2016;2016;1000 personnes;105.963
OA;670;Saint-Vincent-et-les Grenadines;2019;2019;1000 personnes;104.924
OA;882;Samoa;2016;2016;1000 personnes;205.544
OA;882;Samoa;2019;2019;1000 personnes;211.905
OA;16;Samoa américaines;2016;2016;1000 personnes;50.448
OA;16;Samoa américaines;2019;2019;1000 personnes;47.321
OA;678;Sao Tomé-et-Principe;2016;2016;1000 personnes;204.632
OA;678;Sao Tomé-et-Principe;2019;2019;1000 personnes;214.599
OA;686;Sénégal;2016;2016;1000 personnes;14751.356
OA;686;Sénégal;2019;2019;1000 personnes;16000.781
OA;688;Serbie;2016;2016;1000 personnes;7493.288
OA;688;Serbie;2019;2019;1000 personnes;7401.056
OA;690;Seychelles;2016;2016;1000 personnes;100.508
OA;690;Seychelles;2019;2019;1000 personnes;104.373
OA;694;Sierra Leone;2016;2016;1000 personnes;7493.913
OA;694;Sierra Leone;2019;2019;1000 personnes;8046.828
OA;702;Singapour;2016;2016;1000 personnes;5711.933
OA;702;Singapour;2019;2019;1000 personnes;5866.405
OA;534;Sint Maarten (partie néerlandaise);2016;2016;1000 personnes;41.346
OA;534;Sint Maarten (partie néerlandaise);2019;2019;1000 personnes;42.98
OA;703;Slovaquie;2016;2016;1000 personnes;5431.203
OA;703;Slovaquie;2019;2019;1000 personnes;5453.924
OA;705;Slovénie;2016;2016;1000 personnes;2090.02
OA;705;Slovénie;2019;2019;1000 personnes;2112.901
OA;706;Somalie;2016;2016;1000 personnes;14292.847
OA;706;Somalie;2019;2019;1000 personnes;15981.3
OA;729;Soudan;2016;2016;1000 personnes;39377.169
OA;729;Soudan;2019;2019;1000 personnes;43232.093
OA;728;Soudan du Sud;2016;2016;1000 personnes;11066.105
OA;728;Soudan du Sud;2019;2019;1000 personnes;10447.666
OA;144;Sri Lanka;2016;2016;1000 personnes;21425.494
OA;144;Sri Lanka;2019;2019;1000 personnes;21649.664
OA;752;Suède;2016;2016;1000 personnes;9953.317
OA;752;Suède;2019;2019;1000 personnes;10267.922
OA;756;Suisse;2016;2016;1000 personnes;8372.898
OA;756;Suisse;2019;2019;1000 personnes;8575.588
OA;740;Suriname;2016;2016;1000 personnes;581.453
OA;740;Suriname;2019;2019;1000 personnes;600.301
OA;762;Tadjikistan;2016;2016;1000 personnes;8725.318
OA;762;Tadjikistan;2019;2019;1000 personnes;9337.003
OA;148;Tchad;2016;2016;1000 personnes;14592.585
OA;148;Tchad;2019;2019;1000 personnes;16126.866
OA;203;Tchéquie;2016;2016;1000 personnes;10527.591
OA;203;Tchéquie;2019;2019;1000 personnes;10536.871
OA;764;Thaïlande;2016;2016;1000 personnes;70607.037
OA;764;Thaïlande;2019;2019;1000 personnes;71307.763
OA;626;Timor-Leste;2016;2016;1000 personnes;1224.562
OA;626;Timor-Leste;2019;2019;1000 personnes;1280.438
OA;768;Togo;2016;2016;1000 personnes;7661.354
OA;768;Togo;2019;2019;1000 personnes;8243.094
OA;772;Tokélaou;2016;2016;1000 personnes;1.427
OA;772;Tokélaou;2019;2019;1000 personnes;1.752
OA;776;Tonga;2016;2016;1000 personnes;105.707
OA;776;Tonga;2019;2019;1000 personnes;104.951
OA;780;Trinité-et-Tobago;2016;2016;1000 personnes;1469.33
OA;780;Trinité-et-Tobago;2019;2019;1000 personnes;1519.955
OA;788;Tunisie;2016;2016;1000 personnes;11685.667
OA;788;Tunisie;2019;2019;1000 personnes;12049.314
OA;795;Turkménistan;2016;2016;1000 personnes;5868.561
OA;795;Turkménistan;2019;2019;1000 personnes;6158.42
OA;792;Turquie;2016;2016;1000 personnes;81019.394
OA;792;Turquie;2019;2019;1000 personnes;83481.684
OA;798;Tuvalu;2016;2016;1000 personnes;10.852
OA;798;Tuvalu;2019;2019;1000 personnes;10.956
OA;804;Ukraine;2016;2016;1000 personnes;44833.569
OA;804;Ukraine;2019;2019;1000 personnes;44211.094
OA;858;Uruguay;2016;2016;1000 personnes;3413.766
OA;858;Uruguay;2019;2019;1000 personnes;3428.409
OA;548;Vanuatu;2016;2016;1000 personnes;283.218
OA;548;Vanuatu;2019;2019;1000 personnes;304.404
OA;862;Venezuela (République bolivarienne du);2016;2016;1000 personnes;30741.464
OA;862;Venezuela (République bolivarienne du);2019;2019;1000 personnes;28971.683
OA;704;Viet Nam;2016;2016;1000 personnes;93126.529
OA;704;Viet Nam;2019;2019;1000 personnes;95776.716
